src_mac,dst_mac,srcip,dstip,sport,dport,ltime,sttl,ct_state_ttl,dttl,sbytes,dbytes,smean,dmean,dur,spkts,dpkts,sloss,dloss,trans_depth,response_body_len,ct_flw_http_mthd,ct_srv_src,ct_srv_dst,ct_dst_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,proto,state,service,analysis_score,predicted_class
ff:ff:ff:ff:ff:ff,00:0c:29:e1:ec:3b,10.0.0.5,10.0.0.9,1000,53,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,1,1,1,udp,shr,-,0,Normal
ff:ff:ff:ff:ff:ff,00:0c:29:e1:ec:3b,10.0.0.5,10.0.0.9,1001,53,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,2,2,2,1,udp,shr,-,0,Normal
ff:ff:ff:ff:ff:ff,00:0c:29:e1:ec:3b,10.0.0.5,10.0.0.9,1002,53,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,3,3,3,1,udp,shr,-,0,Normal
ff:ff:ff:ff:ff:ff,00:0c:29:e1:ec:3b,10.0.0.5,10.0.0.9,1003,53,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,4,4,4,4,1,udp,shr,-,0,Normal
ff:ff:ff:ff:ff:ff,00:0c:29:e1:ec:3b,10.0.0.5,10.0.0.9,1004,53,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,5,5,5,5,1,udp,shr,-,0,Normal
ff:ff:ff:ff:ff:ff,00:0c:29:e1:ec:3b,10.0.0.5,10.0.0.9,1005,53,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,6,6,6,6,1,udp,shr,-,0,Normal
ff:ff:ff:ff:ff:ff,00:0c:29:e1:ec:3b,10.0.0.5,10.0.0.9,1006,53,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,7,7,7,7,1,udp,shr,-,0,Normal
ff:ff:ff:ff:ff:ff,00:0c:29:e1:ec:3b,10.0.0.5,10.0.0.9,1007,53,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,8,8,8,8,1,udp,shr,-,0,Normal
ff:ff:ff:ff:ff:ff,00:0c:29:e1:ec:3b,10.0.0.5,10.0.0.9,1008,53,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,9,9,9,9,1,udp,shr,-,0,Normal
ff:ff:ff:ff:ff:ff,00:0c:29:e1:ec:3b,10.0.0.5,10.0.0.9,1009,53,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,10,10,10,10,1,udp,shr,-,0,Normal
ff:ff:ff:ff:ff:ff,00:0c:29:e1:ec:3b,10.0.0.5,10.0.0.9,1010,53,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,11,11,11,11,1,udp,shr,-,0,Normal
ff:ff:ff:ff:ff:ff,00:0c:29:e1:ec:3b,10.0.0.5,10.0.0.9,1011,53,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,12,12,12,12,1,udp,shr,-,0,Normal
ff:ff:ff:ff:ff:ff,00:0c:29:e1:ec:3b,10.0.0.5,10.0.0.9,1012,53,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,13,13,13,13,1,udp,shr,-,0,Normal
ff:ff:ff:ff:ff:ff,00:0c:29:e1:ec:3b,10.0.0.5,10.0.0.9,1013,53,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,14,14,14,14,1,udp,shr,-,0,Normal
ff:ff:ff:ff:ff:ff,00:0c:29:e1:ec:3b,10.0.0.5,10.0.0.9,1014,53,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,15,15,15,15,1,udp,shr,-,0,Normal
ff:ff:ff:ff:ff:ff,00:0c:29:e1:ec:3b,10.0.0.5,10.0.0.9,1015,53,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,16,16,16,16,1,udp,shr,-,0,Normal
ff:ff:ff:ff:ff:ff,00:0c:29:e1:ec:3b,10.0.0.5,10.0.0.9,1016,53,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,17,17,17,17,1,udp,shr,-,0,Normal
